mission_number,type_number,launch_vehicle,mission_name,launch_date,calendar_quarter,launch_site,orbit_type,orbital_inclination_deg,orbit_altitude_km,"satellite_quantity	",payload_mass_kg,capacity_est_kg,fill_rate_pct,revenue_per_launch_usd,cost_per_launch_usd,simple_fill_rate_pct,delta_pct,mission_outcome,mission_customer
66,50,electron_ks,the_mountain_god_guards,2025-06-11,2q25,lc-1,leo,42,575,1,100,256.5,39.0,null,null,33,6.0,success,iqps
65,49,electron_ks,full_steam_ahead,2025-06-03,2q25,lc-1,leo,59,470,1,138,245.8,56.1,null,null,46,10.1,success,blacksky
64,48,electron_ks,the_sea_gods_sees,2025-05-17,2q25,lc-1,leo,42,575,1,100,256.5,39.0,null,null,33,6.0,success,iqps
63,47,electron_ks,finding_hot_wildfires_near_you,2025-03-27,1q25,lc-1,leo,97,550,8,96,198.4,48.4,"7,100","5,700",32,16.4,success,ororatech
62,46,electron_ks,high_five,2025-03-18,1q25,lc-1,sso,97,650,5,150,192.6,77.9,"7,100","5,700",50,27.9,success,kineis
61,45,electron_ks,the_lightning_god_reigns,2025-03-15,1q25,lc-1,leo,42,575,1,100,256.5,39.0,"7,100","5,700",33,6.0,success,iqps
60,44,electron_ks,faster_your_space_belts,2025-02-19,1q25,lc-1,leo,59,470,1,138,245.8,56.1,"7,100","5,700",46,10.1,success,blacksky
59,43,electron_ks,iot_4_you_and_me,2025-02-09,1q25,lc-1,leo,97,646,5,150,192.9,77.8,"7,100","5,700",50,27.8,success,kineis
58,42,electron_ks,owl_the_way_up,2024-12-22,4q24,lc-1,sso,97,574,1,100,197.3,50.7,"8,900","6,300",33,17.7,success,synspective
57,3,haste,stonehedge,2024-12-14,4q24,lc-2,null,null,null,null,null,null,null,"8,900","6,300",null,null,success,undisclosed
56,41,electron_ks,ice_ais_baby,2024-11-25,4q24,lc-1,leo,97,643,5,150,193.1,77.7,"8,900","6,300",50,27.7,success,kineis
55,2,haste,haste_a_la_vista,2024-11-24,4q24,lc-2,null,null,null,null,null,null,null,"8,900","6,300",null,null,success,mach_tb
54,40,electron_ks,changes_in_latitudes,2024-11-05,4q24,lc-1,sso,null,null,1,null,null,null,"8,900","6,300",null,null,success,undisclosed
53,39,electron_ks,kineis_killed_the_radiot_star,2024-09-20,3q24,lc-1,sso,98,643,5,150,192.1,78.1,"7,000","5,000",50,28.1,success,kineis
52,38,electron_ks,a_sky_full_of_sars,2024-08-11,3q24,lc-1,leo,53,615,1,165,241.6,68.3,"7,000","5,000",55,13.3,success,capella_space
